Feature,Importance
saldo_medio_var13_largo_ult1,0.000027
ind_var44_0,0.000027
num_meses_var13_largo_ult3,0.000027
ind_var44,0.000027
saldo_medio_var13_largo_ult3,0.000024
delta_imp_reemb_var17_1y3,0.000024
num_var44_0,0.000022
num_var44,0.000021
saldo_medio_var17_hace2,0.000019
num_venta_var44_ult1,0.000016
num_var33_0,0.000014
ind_var33_0,0.000013
saldo_medio_var44_hace2,0.000012
saldo_medio_var13_largo_hace2,0.000011
imp_venta_var44_ult1,0.000009
delta_num_aport_var17_1y3,0.000008
num_var20,0.000006
saldo_medio_var13_largo_hace3,0.000005
saldo_var33,0.000005
delta_imp_venta_var44_1y3,0.000005
delta_num_venta_var44_1y3,0.000004
imp_aport_var17_hace3,0.000004
delta_imp_aport_var17_1y3,0.000004
num_compra_var44_hace3,0.000004
num_meses_var33_ult3,0.000004
num_var33,0.000004
ind_var33,0.000003
saldo_medio_var33_hace2,0.000003
saldo_medio_var33_ult3,0.000003
saldo_medio_var33_ult1,0.000003
saldo_var20,0.000003
num_aport_var17_hace3,0.000003
saldo_medio_var44_hace3,0.000002
imp_trasp_var33_in_ult1,0.000002
imp_compra_var44_hace3,0.000002
delta_imp_aport_var33_1y3,0.000002
imp_trasp_var17_in_ult1,0.000002
saldo_medio_var17_hace3,0.000001
saldo_medio_var33_hace3,0.000001
num_var7_emit_ult1,0.000001
num_trasp_var33_in_ult1,0.000001
delta_num_aport_var33_1y3,0.000001
num_aport_var33_hace3,0.000001
num_meses_var29_ult3,0.000001
num_var6,0.000001
ind_var20,0.000001
imp_aport_var33_hace3,0.000000
num_op_var40_hace3,0.000000
delta_imp_trasp_var17_out_1y3,0.000000
num_trasp_var17_out_ult1,0.000000
num_aport_var33_ult1,0.000000
ind_var13_medio_0,0.000000
num_var34_0,0.000000
saldo_var6,0.000000
saldo_medio_var13_medio_hace2,0.000000
num_var18_0,0.000000
ind_var18_0,0.000000
num_var13_medio_0,0.000000
saldo_medio_var13_medio_ult3,0.000000
num_var6_0,0.000000
saldo_var13_medio,0.000000
saldo_medio_var29_hace2,0.000000
saldo_medio_var29_hace3,0.000000
saldo_medio_var29_ult1,0.000000
saldo_medio_var29_ult3,0.000000
ind_var34_0,0.000000
delta_imp_trasp_var17_in_1y3,0.000000
saldo_var18,0.000000
num_reemb_var33_ult1,0.000000
num_meses_var13_medio_ult3,0.000000
ind_var7_emit_ult1,0.000000
imp_venta_var44_hace3,0.000000
imp_trasp_var33_out_ult1,0.000000
imp_trasp_var33_in_hace3,0.000000
imp_trasp_var17_out_ult1,0.000000
imp_trasp_var17_in_hace3,0.000000
imp_reemb_var33_ult1,0.000000
imp_reemb_var17_hace3,0.000000
imp_var7_emit_ult1,0.000000
imp_aport_var33_ult1,0.000000
num_reemb_var17_hace3,0.000000
imp_amort_var34_ult1,0.000000
saldo_var34,0.000000
imp_amort_var18_ult1,0.000000
num_trasp_var17_in_hace3,0.000000
num_trasp_var17_in_ult1,0.000000
num_trasp_var33_in_hace3,0.000000
num_trasp_var33_out_ult1,0.000000
num_venta_var44_hace3,0.000000
delta_imp_trasp_var33_out_1y3,0.000000
delta_imp_trasp_var33_in_1y3,0.000000
delta_imp_reemb_var33_1y3,0.000000
delta_imp_amort_var34_1y3,0.000000
ind_var6_0,0.000000
ind_var6,0.000000
delta_imp_amort_var18_1y3,0.000000
